City of Toronto Profiles,...2
City of Toronto Ward Areas,NA
NA,NA
Wards:,NA
25 Ward Model,NA
NA,NA
Prepared by:,NA
"Strategic Initiatives, Policy & Analysis",NA
"City Planning Division, City of Toronto",NA
December 2023,NA
NA,NA
Ward,Area (sq km)
1,48.365474435462119
2,37.349370192023244
3,39.994174675543952
4,15.32836716725182
5,24.979496258278719
6,35.360233239721722
7,30.701573058913201
8,22.662460488506792
9,12.095345385591409
10,12.81255621364045
11,13.59728261167877
12,13.12169436260066
13,5.8630215207765577
14,20.80286727365419
15,30.296939442120941
16,22.964899848593941
17,24.42064193785486
18,19.762703923480291
19,16.803218951448542
20,28.13809805826185
21,28.205628137098813
22,21.39897455007252
23,30.437531224232981
24,26.111458294058028
25,54.078474541928848
